sentence	label
هذا ما يسمى بالمرأة الحديدية	1
مسلسلان بتبقي اجمل جدا معلش بقي افلام مش كاري	0
أولا صباح الخير ثانيا درجات دنيا	0
يعني اي تلقيح	0
زايد الرخيص يبقى طول عمرو رخيص	1
الوقار لا يأتي بالتصن ع و لا بالتكل ف و لا بتجاهل الناس و لكنه ما يجعله الله لك في القلوب و طريق ه التقوى و	1
انها الثانوية العامة يا ساااده	0
حتى انا ولهت عليج	0
ینی هرکی از همشیره ی دایی اش قهر میکنه میره فرقه میزنه حالا فرقه میزنه یا فرغه خود حضرت باری تعالی میداند	0
هذا عقاب للمتفرجين	1
مشكور يا دكتور	0
برافو عماد برافو برافو برافو برافو	1
ميضحكنيش	1
رحمك الله وأسكنك فسيح جناته أستاذي الغالي	0
ههههههههههههه قصدك تقولي ترا يع	0
مسلسل يدرب على الوبنة	1
خليها على حسابي	0
ربي يوفقك ممثل عندو ما يقول في روحو	1
لا لا حلو	0
مش هنبطل كأبه شويه يا جدعااان ونحاول نفرح بعض ونفرح نفسينا بجد اي حد بيتكلم عن الأكتأب والحاجات دي بيأثر فياا والمشكله ان اغلب الناس بقت ف أعلي ليڤل من الكأبه بجد نحاول نفرح شويه ومننشرش عدوه الأكتأب دي	0
هذا عار تونس	1
لا متعجبنيش	1
هي مش في بيتي في بيت حماي بكرهم أصلا هالساعات وجد مؤذيات نفسيا	0
مواصلة اعمال تركيب الجدران الاستنادية لجسر التقاطع الماسي بالاضافه الى الاعمال الانشائية والخرسانية لجسر الوادي ضمن مشروع طريق غرب الجامعه الجاري تنفيذهpic	0
كيف تصبح سعيدا في خطوتين اتغطى ونام	0
الجمعه الله م جمعه مل يئة بالغ فرآﻥ	0
وطني ذلك الحب الذي لايتوقف وذلك العطاء الذي لاينضب أيها الوطن المترامي الأطراف أيها الوطن المستطوطن في القلوب أنت فقط من يبقى حبه وأنت فقط من نحب	0
ث م إليه ترجعون يارب أحس ن خاتمتنا و ردنا إليك ردا جميلا	0
تميز وابداع الله اكبر عليك	1
أحلا صوره أرها في حياتي	1
برافو يعطكيم الصحه	1
فعل يطالب يعتبر تدخل خلط الأوراق من ميزة الصحافة ومنشور مثل هذا يعتبر محاولة نشر فتنة ليس بين الجزائريين بل بين الدول الأخرى لختراق الدول الخارجية بقوة مهزلة الصحافة كل الجزائر تعلم بما قام به المسؤولون من سرقة والشعب يطالب بمحاسبتهم و القايد صالح يطلب تحرك القضاء	0
شحص جاهل و لا يستحق موجود في البرنامج	1
متفهك و قفافة و تدافع علي تافه كيفها و عافسة في لندلسي نفلها راهو ميراكش إنت وين	1
ﺎلأخووهہ ﮔﻟمہ ﺛمينہ لا ﺗقال ﻟﮔل ﺈنسسان	0
اه اللوبان أحوري	0
انسان يلوج على البوووز تخللففف	1
الحكايه ولله فلوس لا اهلي ولا زمالك كله كده احنا بس الي وجعين قلبنا وببلاش	0
معلللللللم	1
انت ماكبرتش ولا حاجه استمتع بتفاهتك	0
بصراحة خليتها بالمساطة متاعك راك	1
أعنا على أنفسنا وق نا شرها وأذاها يا رب ق نا شر أهواءنا ورغباتنا وادفعنا لما ت حب وترضى وجنبنا ما لا ترضى يا رب	0
وليد يا معلم فى هاذى الحلقة ظهر اشكون راجل واشكون	1
نتائج إمتحانات السداسي الثاني الدورة العادية للسنة الجامعية	0
أحسن و أجمل مراء في تونس	1
لعنت الله عليك احترمنا شويا	1
خلدوووون واااااو متى ناوي يروح المانيا	0
أكبر طحان تونسي	1
فنانة كبيرة	1
ي حادثني ي حادثني كثير ا فم ن ليل الهوى حتى الظهيرة يعات ب ني يغاز ل ني كأني بآخرة الزمان أنا الأخيرة يحب قصائدي وي حب وجهي وي خشى أن أغيب ولا أ ديرا لرب ي قد ش كوت م صاب قلب ي فكيف اعيش دل لني كثير ا	0
معلم يعتك الصحة	1
ههههه زين مقبول منج يلبخيله	0
ياااه بنااات قلبي اتخطفpic	0
حسبنا الله و نعم الوكيل	1
ياجماعة فيه فعلا سمك اسمه	0
في ليلة الجمعة نسألك يا الله سترا جميلا وصبرا جميلا واتس اعا بعد ضيق و راحة بعد شقاء و شفاء بعد المرض و نجاة من الهم و تيسيرا لكل صعب اللهم امين يارب العالمين	0
ضامر و صاحب جو ربي يوفقك	1
امل فيهم ولا مر يوم إلا في تحريهم	0
طبعا الصورة هتلف على كل الابليكيشنزpic	0
ابديت جديد بكل	0
ما أقل حياك يا سامي لا تقدروا عائلات لاشئ قول انت مقدرتش مرتك و بنتك باش تقدر لعباد ممسطك و برا	1
هذوكم خطر على الصغاروالكبار كلهم امراض اللهم بعدهم علينا ملا شواذ اممسخين اتقوا الله وخافوا عاقبتكم راهي النار باش تحرق جلودكم ياقطاطس	1
شكيب تافه واتفه منو مثماس سيدو لطفي العماري	1
قد اش تافه تافه تافه مسطلها بالتفاهة وقل ة الحياء	1
منشط يستحق التشجيع	1
و الله عيب عجوز كيف ليلى الشابي تحكي هكة عيب كبير تي انا مل بديت نعرف نراك في التلفزة و لتوا ما فخمت قدرك	1
البروق تركز جنوب غرب بارقpic	0
من شوي كنت عم اتناقش مع امي وقالتلي انتي بدك ناس ع مقاسك بالزبط وهاد اصعب شي بالحياه وكان عندي فكره مسبقه ماكنت متفاجأه انا جدا صعبه بتكوين صداقات او تعارف	0
زبالة حشاكم	1
على الاقل دفعوا بالشر عن بلدهم وليس مثل مافعلت انت وجأت بأرذال العالم وتامرت على بلدك	0
يحطوا المحاضرات المهمة الساعة ٨ والسخيفة الساعة ٢	0
مهرج لا يحسن الكلام ولا يحترم الاخرين وموش متربي	1
محلاها ممثلة ممتازة اخلاق وخلق ادوارها الكل راقية	1
برافو وليد التونسي و احمد الاندلسي	1
سؤال حقير لا يصدر الا من قناة حقيرة معادية للاسلام و الشعب	1
عزوزة كان رجعت لربي خير مسرحية كلها غشت	1
محتاج احد ارتبط فيه فترة العيد بعدين كل واحد يروح بطريقهpic	0
كنت راكب مع سواق الصبح لسة بيقول يا هادي و مشغل قران راح قبلته لجنة دفع مخالفة بعد ما مشي من اللجنة راح سب الدين و طفي القران و قال عشان نعرف نتعامل مع الاشكال بنت المت كة دي ع الصبح	0
شهصبح الي يسددد الننففسسسس	0
كل مرة يجبولنا جرثومة الله يهلكهم	1
ما سط و قليل حياء و ميعرش يحكي	1
حمد لله عالسلامة نور	0
منورتنا	1
راجل راجل	1
يا عم عادي انا سافرت ٤حتت ف نص السنه و كان منهم سيوة انا بسافر اكتر منك والله بس الفكره ان سيوه لو مطلعنهاش دلوقتي مش هتطلعها	0
هذيا ماسطة لاسطة	1
شكرا على المحاضرة الجميلة والمفيدة ونشكر لك حسن الإلقاء والمعلومات الوافرة	0
احلى حلقة كيم قال هشام الخلصي رجعتنا لزمان نجيب الخظاب	1
ماسط لاسط	1
مشوار الالف ميل يبدأ بخطوة ابدأ مشوارك نحو المليون مع كوكيز المليونير من يمكنكم الطلب من خلال موقعنا الالكتروني	0
اعتقد انه أمير سعودي و لكن الذاكرة خانتني في اسمه	0
مرا بألف راجل يعطيها الصحة	1
أمك جابت واحد مش راجل كيفك	1
جعفرا نت ا نسان بكل ما تحمله الكلمة من معاني	1
تي قناة ماتكون كان صهيونية عمرها ماجابت حاجة تنصر الدين مختصة في الإنحلال الأخلاقي	1
الحياه مو حلوه لما تقوم كل يوم وانت عارف مافي شئ راح يبهرك	0
لا تمثل المرأة التونسية وليست مثالا لنساء تونس	1
تعجبني مواقفو صحيح تحسو منرفز آما يلزمو يعمل هكاك خاطر إعلامنا يجيب في الباهي ويحب يطيحلو من قيمتو برافو صلاح	1
لا تمثل المرأة التونسية	1
أكثر حاجة خايبة في كلام الناس هي ما يا القصورى و عار على تونس أتحداكم كان تعديو كلامى	1
وطني لو شغلت بالخلد عنه نازعتني إليه بالخلد نفسي	0
لحم رخيص تفو على اعلامنا و الفهري	1
ماهي تربية ولا اهتمام هذا إجرام في شخصية ومخي لة الطفل	0
بوهالي هههههه	1
هو مختار اللحاس من مرتزقة التجمع شكونو	1
مستوى منحط جاهل متاع	1
امين يا حبيب اخوه وياك ومن تحب	0
مكثر ها عهرات وكان إلقيت ذكر في وصتهم رهو لي عندو في الدار عاهرة تفوه عليكم كان تولوا عباد يا خماج	1
كي تبقى اخر قناه منتفرجش في تافهتكم	1
افدي قلوبكم جميعاا	0
متعاملتش معاك كتير بس طيب و هادي و هندسة عاملة معانا الغلط	0
ملا ماسط عامل فيها شيخ ورع وهوا ما يشم فيها شي لا فن ولا تربية برا شد سبحة خيرلك وانت ساق في البر وساق في القبر	1
اااااااااااه يانى اه	0
مسلسل تافه و يونس الفالحي تحسو معقد من الصفاقسية اسيادو وكل شيء فيه مبدل لا اللهجة صحيحة وﻻ التصرفات وفوق هذا ماسط لاسط	1
وانت واقف في الزاويه	0
محلاك حتى كاننك عزوزة	1
انا بكره الكليه دي و كرهت حياتي بسببها والله	0
يا سي سمير راك عملت العار مع الجوادي واضح مليح إلى الحبس رباك وجعلك رجل إنبطاحي بإمتياز	1
سبحان الله ما احلاها	1
يكب سعدو	1
بصير اليوم ولا لا	0
وانت بخير يا ام ديمبوز	0
مايفتح القنوات المشفرة إلا بالنت وقيمته ٣٤٠ ريال	0
توفيق يا لحس يا مسخ يا جبري	1
منشط متربي و مثقف ومن الاحسن ييد ينشط لابا ل	1
سيتكوم ممتاز	1
ح س ب ن ا الل ه و ن ع م ال و ك يل	0
كل زق بس انت وحكامك ليش يلغيه وليش يعطيه احمر يعني انك فاهم كوره ي فاشل مردغكم حمدلله ف حديقة مرابط وانت هايط بس ي زعيقي ي فاشل قال كرت احمر ويلغي الهدف	0
يتقدم مجلس ادارة فريق وادي العربيين بالتهنئه لمحبين وعشاق فريق التضامن الرياضي لوصوله للمباراه النهائيه لدوري نادي قريات الدرجه الاولى لعام م	0
ياسر ياسر حلو المسلسل اتمنيت راني نمثل فيه عندي خبرة ومثلت قبل انشاء الله خويا يامي في انتاجا تك الجايا	1
عن كميه الخنقه اللي الواحد بقا فيها بمجرد كلمه من صاحبي وهو بيقولي اشوفك ع خير بعد الجيش والله اتمنيت ساعتها ميكونش ليا صحاب اصلا لان احساس الفرقه وحش اوووووي	0
القصف بالقصف المقاومة نبض لا يهدأ	1
واش هاذ الجهل اللي راهم فيه والله تبهديلة قولولي راهم يتمسخروا	0
فعلا مخيفه	1
ـ ऊ_ كن في الحياه بسيطا فإن البساطه بذاتها جمالا _ऊ ـ	0
لعبتي اتحلطم على كلشيء ما بس ذا	0
ههههه والله صح ناقص هرج بقاو حبات قلال فرات كيما أنا بيانسوغ	0
وانت طيب ياعيوني قريبا باذن الله	0
ماسط	1
لقد نشرت صورة جديدة علي الفيس بوك	0
حللللللوه يا دافع البلا وش ذي الناس	0
ما بعرف كيف الله بيعطي الصبر للعالم اللي بسافروا اخواتا او ولادا انا شغلة عشر ايام بس و ضجت	0
راموس يعمل مشكلة مع ميسي	0
العرى و الكلسون الراعي الرسمي للرمضان سنا	1
اللهم مت عني بسمعي وبصري واجعلهما الوارث مني وانصرني على من يظلمني وخذ منه بثأري	0
رسالة للحكومة ال مزال على الأبواب و أفلامكم ليس في المستوى	1
مااعتقد بس ولا يعلمون الغيب بس نفس سالفة ابراج الامريكيه مفتعله لأجل حدث ما	0
البنات ألطف الكائنات من قريب وبعيد هيهي	0
و ب ش ر الص اب ر ين تفاءل فخلف الأقدار فرح سيطرق بابك يوما ما	0
قلة حيا وقلة تربيه ووقاحه وفساد	1
الله يعظم أجرك يا محمد ويغفر له ويرحمه ويسكنه فسيح جناته يارب العالمين	0
الصافي سعيد رجل بأتم معنا الكلمة الحمد لله مازال عنا رجال يقولوا في كلمة الحق	1
تي شبيك ماسط حاقهم يحطوك تخدم في مكتب العلاقات مع المواطن	1
بسم الله على دونغهي و الافيش من لميس	0
شكيب كلب نهضاوي و كلب غير وفي ناقم ع الامنينين و نداء لكل أمني باش يرد بالو من ها الكلب المكلوب	1
أنا لا أحب وليد التونسي كفنان	1
موش بلاصتك يافوزي	1
اعتراف جميل الطمأنينه رجل	0
الله يعيــــن أهل و يعيــــن أهل لأنه أعتقد من اأكثر الناس اللي حينضروا من خارج مصر	0
لآ ت خ بىء الك لآم فلن يرثه أح د ليق وله و لآ ٺؤج ل الرس ائ ل ف قد ت تغير الع نآو ين	0
لا ادري كيف تم اختيارها للحضور لان افكارها تافهة وفاقد الشيئ لايعطيه	1
هاشتاج جميل من إخوتنا و أخواتنا الصوماليين أبرز صفة في الصوماليين لمن يعرفهم جيدا عزة النفس نتمنى لبلدهم الجميل أن ينعم الله عليه بالأمان	0
طز فيكم و ما امسطكم الكل	1
رمز ساقط كبير	1
الله يسلمك وخا ما جبنت والو هههه	0
احلي حوار تونسي	1
معمقة ذكرتني بمدرسة المشاغبين اطلاقا ياظناية	0
انه الفضول لدى البشر والعطش للمعرفة	0
ديما حلوة	1
في السفارة ههههه	0
يا سي دتي لا ت نش غ لي بالمستقبل يا سيدتي سوف يظل حنيني أقوى مما كان وأعنف مما كان	0
ولا اقول ل ابوك علي الدرجتين اللي نقصه في التاريخ عايز نفاخات اجبلك النفيخ	0
الله يرحمه و يسامحه اكيد هو ف مكان احسن دلوقتي	0
أمنة أنت مثيرة جدا	1
ربي آمنحني قلبآ مبتسمآ مغمورآ بآلصبرلآيضعف آمآم شيء سـوآك شاهد	0
روحـي تحبك و الغـلا ذابحني	0
والمرء تائه بين إقباله على شر يظنه خير ا وإعراضه عن خير يظنه شر ا والسعيد من كانت خيرة الله له أحب إليه من خيرته لنفسه جمعة مباركة	0
كيف بصبر للحلقه الجايه	0
سوف تخرج حياتك عن الن ص يوم ا وتتعل م الارتجال	0
روعة يا سامي الفهري	1
الفة فنانة بالحق صوت وحضور	1
جيشنا ياجيشنا جيشنا ياذا البطل قلع الله اشكالكم يا عاراهpic	0
دعاء دخول المسجد أعوذ بالله العظيم وبوجهه الكريم وسلطانه القديم من الشيطان الرجيم	0
الصافي سعيد أكيد حلقة قوية	1
كل عام وأنتم بخير	0
ههههههههههه والله حلقة عالمية	1
باين انها مسابقه حاميه نتطلع ل الفائز	0
مسلسل تافه تفاهة صاحب قناة الحمار التونسي مع المعذرة ورد خطأ في الحروف	1
بسم الله كأن البيت منهد وطايح عليه اشجار	0
بهاطريقة نصنع الارهاب	1
ب وجودك يا برو	0
برشا حب يا مسخ برشا عارر في رمضان	1
امنة تصلح وزيرة مرأة عالاقل تعطي منظر باهي لتونس تبارك الله وهرة و ريشة	1
مشهد محمد هنيدي وحنان ترك في فيلم جاءنا البيان التالي	0
من التعنيق و الاحضان محناش خارجين و ربي يحسن العاقبة	1
معلم و صاحب الفكاهة في تونس	1
يافلك وين الگاك يالظيعتني وين الگاك واراضيك	0
دكتاتور لايكل ولايمل من الدماء وحب التسلط هؤلاء مصابون بداء العظمه	0
تشيسا كييزا يا أخ	0
سحقا لمفيده وأولادها لهمل يعلمو في الشاب بعد عن ربي ودينهم حسبي الله ونعم الوكيل فيكم يا خمج	1
اكبر طحانة	1
ما تركن في الجركن طيب	0
جدتك عيب يكذب على المخابيل انه يريد يمن موحد وقوي وهو يدعم الحوثي وبلاده ايضا تحرض على اقتحام معاشيق والقضاء ع الشرعية الا اذا كان يقصد يمن موحد بيد الحوثي وهكذا يبدو فليعلم ان طاهر ولن تدنسه قدم حوثية او اخونية او عفاشية ما بقي عرق جنوبي ينبض	0
شفتى اهو العرق الشيعى ظهر اهو	0
برافو سي جلول هذا الكﻻم الصحيح سلفي و الدواعش خلفي بن قردان تحييك	1
ولد وطربي متخلق معندوش كلام زايد يرحم من قراء و ورى يرحم لميمه اش جابت	1
شعب تسلط ع كلشيء الا الكيف	0
بخير	1
تافه وماسط وبليد ويقزز وساقط و واطي وتفوه عليه	1
محرزية العبيدي تمثل المرأة التونسية	1
شخص تافه باتم معنى الكلمة	1
عجوز شمطاء	1
فنان موهوب	1
هههههههه اي هوما بيدهم شعب منافق	1
برفو مع اختك صوفية الرفرافي من ولاية بنزرت	1
يا فرج ابعتلي فل	0
نحن نعشقها ونحن نعشق الحوار التونسي	1
للنجاح بتطوير منهج تعليمي للمستقبل لا يجب الاعتماد فقط على الجانب التقني بتوفير الحلول التقنية بل يجب أيضا تطوير منهج فكري بمفردات تنمي مهارات التفكير لدى الطلبة ليوسع من مدارك وافاق التعلم لديهم تساعدهم في مواكبة متغيرات ومستجدات المستقبل	0
فهميهلي ترا زمان مش فاهمهم	0
ممتاز	1
جعفور المعلم ديما محفلها نور شيبة زادة رائع في الغناء و الجو بية الزردي ماشاء الله عليها قد ما تكبر تزيان نحييكم محلاكم الكل	1
مـــــاسططططططططط	1
لطفي و أولاد النهدي الكل كلاب	1
هو لحاس وقواد بن علي	1
خسارة طمعتيني باطل ربي يهنيه هههههه راكي ليها بالمرصاد	0
صوت رااااائع و ماتيار برميار اروع	1
موفقه يا دكتوره	0
هههههههههههههههه موبايلي صارله خمس سنين معي خلص كفاها الله	0
ألا توجد وسيلة يلجأ إليها الإنسان هربا من التفكير	0
تڨول كلب ستاف	1
الحمد لله انه أصبح عندنا قضاء مستقل يقول الحقيقة و لا يخشى الوزير أو غيره	1
اعلام العار	1
على تبن يا ولد موزه	0
وحدك يا سامي في الاخراج تبارك الله	1
يعجبني برشا وبسيط ومتواضع	1
لم تكن ممتعا ولا جريء بل متحاملا على شق من ضيوفك أسئلتك تافهة وادارتك للحوار فضحت لعبتك	1
راجل كبير وميبون	1
أمسط وأعدم عباد رب ي ناجح كممثل متفاهمين أما لا أخلاق ولا يعرف يحكي أصلا	1
بدون تعليق	1
ما لقيت ما نقول هي مبدعة و ما ينجم حد ينكر في هذا	1
همل وقمل	1
ههههههههههه ايوا بالضبط	0
أستمع الآن إلى القيامة خالد الجليل	0
ممكن أتواصل معك خاص لو سمحتي	0
وليد التونسي تحسو التونسي الاصيل و الحر	1
الوقواق الطائر المخادع المستعمريلخص تصرفات أشخاص وحكام وميليشيات ودول	1
فندق كمبنسكي عمان يقيم معرض الزفاف الأضخم على مستوى المملكة بتنظيم دواس	0
وليد التونسي يا معلم والله يبرد عالقلب هالنخبة المثقفة يحبوا يدخلوا التوانسة الكل بكبيرها وصغيرها لجمعية شمس	1
كل واحد جلس جمب الأكل بتاعه	0
شئ يأسف	1
طمني اطمن في القلب راح تسكن	0
لما ماما تقولي كيف حتفتحي حوش وانتي بالتفاهه هديpic	0
هيحطولك في التورته حشيش والبيبسي هيبدلوها بخمره	0
خلاص مبانش خلاص	0
سيذكر التاريخ أن الجيش الصهيوني هو الجيش الوحيد في الشرق الأوسط الذي لم يقتل شعبه	0
هل قرأت سورة الكهف	1
الأصل كون النقد آخر مرحلة من مراحل الأهداف المعرفية إذ ي قد م المرء رؤية تقييمي ة لإصدار حكم على ما تعم ق	1
عمك في الثلاجه يا ديوث ادا فيك خير واجه حنشان الضما يا حق البراقع	0
هو انسان تافه	1
التمثيل فاشل و في الكلام فاشل و الحوارات فاشل و في كل شيء فاشل	1
احرص على ما ينفعك واستعن بالله ولا تعجز ما أجملها من نصيحة نبوية وما أبلغها	1
كل سنه وانتى طيبه ي قمر	0
س والفك قليله بس ي هي ترد الر وح	0
مسلسل اولاد مفيدة غير اخلاقي	1
لطفي العبدلي فنان كبير برشة برشة	1
مزبوط أنا كنت ع سناب شات بس لغيت حسابي	0
ملا مستويات منحطة	1
حسيتو مساط السنة البرنامج	1
محلاك هيشام برافو	1
يعجبني صوتها أما نحب نقلها واصل ع المنوال إلي تخدم فيه	1
انت معلم يا وليد برافو على موقفك الرجولي	1
كلهم بهايم وثقافتهم محدودة حتى في دينهم ربي قال إذا الشمس كورت موش الأرض يا أحمد كافون	1
الحب الصادق من الطرفين لن يكون عنه أي ندم	0
أحلى جعفور احلي تلقائية و احلي ضحكة ديما متميز و قريب للقلب	1
التونسية اعلام العار	1
روعة	1
اكبر لحاس وطحان اعوذ بالله من منظرو	1
مسلسل رغم الاحزان قريب شهور و احنا نتفرجوا عيايلات و لا فيه حتى احراج اما سامي افلام و مسلسلاتوا يا لطيف و برى قمة البذاءة و الرداءة	1
تحياتي أيها الأنيق	0
راقب افعالك وبعدين لومني لاتغيييييييرت	0
يزي من التنوفيق متع النهضاوية مرمد للطحانة و الشعب معاك	1
منظر جميل لـ بوابة مكة	0
